timestamp,experiment,model,split,pr_auc,roc_auc,f1,recall@1%
1762550670,elliptic-gnn-baselines,Logistic Regression,test,0.16380645001793742,0.8239236685007502,0.2559489262913523,0.0047169811320754715
1762550670,elliptic-gnn-baselines,Random Forest,test,0.6582911858436294,0.8772618225637576,0.6944971537001897,0.17452830188679244
1762550670,elliptic-gnn-baselines,XGBoost,test,0.6688945760598035,0.8880831979832238,0.6987724268177526,0.17452830188679244
1762550670,elliptic-gnn-baselines,MLP,test,0.36389190068545996,0.8296721724944726,0.4863915715539947,0.09433962264150944
1762580791,m7-tabular-full,Logistic Regression,test,0.16380645001793742,0.8239236685007502,0.2559489262913523,0.0047169811320754715
1762580791,m7-tabular-full,Random Forest,test,0.6582911858436296,0.8772616734997603,0.6944971537001897,0.17452830188679244
1762580791,m7-tabular-full,XGBoost,test,0.6688945760598035,0.8880831979832238,0.6987724268177526,0.17452830188679244
1762580791,m7-tabular-full,MLP,test,0.36389190068545996,0.8296721724944726,0.4863915715539947,0.09433962264150944
1762580933,m7-tabular-full,Logistic Regression,test,0.16380645001793742,0.8239236685007502,0.2559489262913523,0.0047169811320754715
1762580933,m7-tabular-full,Random Forest,test,0.6582911858436296,0.8772618225637576,0.6944971537001897,0.17452830188679244
1762580933,m7-tabular-full,XGBoost,test,0.6688945760598035,0.8880831979832238,0.6987724268177526,0.17452830188679244
1762580933,m7-tabular-full,MLP,test,0.36389190068545996,0.8296721724944726,0.4863915715539947,0.09433962264150944
1762580983,m7-tabular-local_only,Logistic Regression,test,0.14703043613572597,0.7998695093767217,0.312475709288768,0.0031446540880503146
1762580983,m7-tabular-local_only,Random Forest,test,0.6489596740242263,0.8458120022753128,0.6685133887349953,0.17452830188679244
1762580983,m7-tabular-local_only,XGBoost,test,0.6481968616410554,0.8713130510895982,0.6534466477809254,0.17452830188679244
1762580983,m7-tabular-local_only,MLP,test,0.23522592770422351,0.8129044851568034,0.4145021645021645,0.0015723270440251573
1762581138,m7-tabular-full,Logistic Regression,test,0.16380645001793742,0.8239236685007502,0.2559489262913523,0.0047169811320754715
1762581138,m7-tabular-full,Random Forest,test,0.6582911858436294,0.877261971627755,0.6944971537001897,0.17452830188679244
1762581138,m7-tabular-full,XGBoost,test,0.6688945760598035,0.8880831979832238,0.6987724268177526,0.17452830188679244
1762581138,m7-tabular-full,MLP,test,0.36389190068545996,0.8296721724944726,0.4863915715539947,0.09433962264150944
1762581170,m7-tabular-local_only,Logistic Regression,test,0.14703043613572597,0.7998695093767217,0.312475709288768,0.0031446540880503146
1762581170,m7-tabular-local_only,Random Forest,test,0.6489596740242262,0.845812002275313,0.6685133887349953,0.17452830188679244
1762581170,m7-tabular-local_only,XGBoost,test,0.6481968616410554,0.8713130510895982,0.6534466477809254,0.17452830188679244
1762581170,m7-tabular-local_only,MLP,test,0.23522592770422351,0.8129044851568034,0.4145021645021645,0.0015723270440251573
1762581358,m7-tabular-full,Logistic Regression,test,0.16380645001793742,0.8239236685007502,0.2559489262913523,0.0047169811320754715
1762581358,m7-tabular-full,Random Forest,test,0.6582911858436294,0.877261971627755,0.6944971537001897,0.17452830188679244
1762581358,m7-tabular-full,XGBoost,test,0.6688945760598035,0.8880831979832238,0.6987724268177526,0.17452830188679244
1762581358,m7-tabular-full,MLP,test,0.36389190068545996,0.8296721724944726,0.4863915715539947,0.09433962264150944
1762581529,m7-tabular-full,Logistic Regression,test,0.16380645001793742,0.8239236685007502,0.2559489262913523,0.0047169811320754715
1762581529,m7-tabular-full,Random Forest,test,0.6582911858436294,0.877261971627755,0.6944971537001897,0.17452830188679244
1762581529,m7-tabular-full,XGBoost,test,0.6688945760598035,0.8880831979832238,0.6987724268177526,0.17452830188679244
1762581529,m7-tabular-full,MLP,test,0.36389190068545996,0.8296721724944726,0.4863915715539947,0.09433962264150944
1762581620,m7-tabular-local_only,Logistic Regression,test,0.14703043613572597,0.7998695093767217,0.312475709288768,0.0031446540880503146
1762581620,m7-tabular-local_only,Random Forest,test,0.6489596740242263,0.8458120022753128,0.6685133887349953,0.17452830188679244
1762581620,m7-tabular-local_only,XGBoost,test,0.6481968616410554,0.8713130510895982,0.6534466477809254,0.17452830188679244
1762581620,m7-tabular-local_only,MLP,test,0.23522592770422351,0.8129044851568034,0.4145021645021645,0.0015723270440251573
1762581689,m7-tabular-aggregate_only,Logistic Regression,test,0.2025356323796843,0.8105376470069142,0.26568047337278106,0.026729559748427674
1762581689,m7-tabular-aggregate_only,Random Forest,test,0.4791147002090006,0.8196937539800088,0.5004849660523764,0.16037735849056603
1762581689,m7-tabular-aggregate_only,XGBoost,test,0.5090054860515254,0.8629250708948372,0.5137254901960784,0.15566037735849056
1762581689,m7-tabular-aggregate_only,MLP,test,0.3481094955779612,0.8174012987647961,0.4201388888888889,0.1179245283018868
1762581753,m7-tabular-local_plus_structural,Logistic Regression,test,0.15140518359661007,0.8018013787823498,0.309145880574452,0.0031446540880503146
1762581753,m7-tabular-local_plus_structural,Random Forest,test,0.6473079028164673,0.8335667675531802,0.6672811059907834,0.17452830188679244
1762581753,m7-tabular-local_plus_structural,XGBoost,test,0.635528814276902,0.8758027096257182,0.6086956521739131,0.17452830188679244
1762581753,m7-tabular-local_plus_structural,MLP,test,0.2249371642138942,0.8124195054414322,0.4665391969407266,0.0047169811320754715
